category,time_stamp,job_id,user_id,state,procs,duration,datetime,derived
ActiveJob,2018-06-14 11:28:30,20841714,vsc30777,Running,96,79175,2018-06-14 11:28:28,79177.0
ActiveJob,2018-06-14 11:28:30,20841020,vsc30141,Running,320,647,2018-06-13 11:39:40,86377.0
ActiveJob,2018-06-14 11:28:30,20840488,vsc31573,Running,80,1171,2018-06-11 11:48:24,259177.0
ActiveJob,2018-06-14 11:28:30,20840491,vsc31645,Running,24,3249,2018-06-11 12:23:02,259177.0
ActiveJob,2018-06-14 11:28:30,30028271,vsc31815,Running,10,6998,2018-06-12 13:25:31,172777.0
ActiveJob,2018-06-14 11:28:30,20840604,vsc32255,Running,1,10410,2018-06-11 14:22:23,259177.0
ActiveJob,2018-06-14 11:28:30,20838386,vsc30668,Running,12,11250,2018-06-07 14:36:23,604777.0
ActiveJob,2018-06-14 11:28:30,20842155,vsc31051,Running,2,12977,2018-06-14 10:05:10,17977.0
ActiveJob,2018-06-14 11:28:30,20841831,vsc32205,Running,40,15591,2018-06-13 15:48:44,86377.0
ActiveJob,2018-06-14 11:28:30,20841860,vsc31909,Running,20,18597,2018-06-13 16:39:50,86317.0
ActiveJob,2018-06-14 11:28:30,20840775,vsc32000,Running,20,20244,2018-06-11 17:06:17,259177.0
ActiveJob,2018-06-14 11:28:30,20842153,vsc32098,Running,1,24389,2018-06-14 10:15:22,28777.0
ActiveJob,2018-06-14 11:28:30,20842156,vsc32098,Running,1,24389,2018-06-14 10:15:22,28777.0
ActiveJob,2018-06-14 11:28:30,20841928,vsc31921,Running,20,25126,2018-06-13 18:27:39,86377.0
ActiveJob,2018-06-14 11:28:30,20841861,vsc31909,Running,20,31602,2018-06-13 20:16:35,86317.0
ActiveJob,2018-06-14 11:28:30,20842190,vsc31821,Running,20,35189,2018-06-14 11:15:22,35977.0
ActiveJob,2018-06-14 11:28:30,20842191,vsc31821,Running,20,35429,2018-06-14 11:19:22,35977.0
ActiveJob,2018-06-14 11:28:30,20841862,vsc31909,Running,20,36508,2018-06-13 21:38:21,86317.0
ActiveJob,2018-06-14 11:28:30,20842026,vsc31909,Running,20,40411,2018-06-13 22:43:24,86317.0
ActiveJob,2018-06-14 11:28:30,20841658,vsc32213,Running,80,46912,2018-06-14 00:30:47,86375.0
ActiveJob,2018-06-14 11:28:30,20842033,vsc30760,Running,1,48708,2018-06-14 01:00:41,86377.0
ActiveJob,2018-06-14 11:28:30,20842032,vsc30760,Running,1,48708,2018-06-14 01:00:41,86377.0
ActiveJob,2018-06-14 11:28:30,20841659,vsc32213,Running,80,49824,2018-06-14 01:19:19,86375.0
ActiveJob,2018-06-14 11:28:30,20841035,vsc32255,Running,1,50916,2018-06-12 01:37:29,259177.0
ActiveJob,2018-06-14 11:28:30,20841661,vsc32213,Running,80,52813,2018-06-14 02:09:08,86375.0
ActiveJob,2018-06-14 11:28:30,20841667,vsc32213,Running,80,53474,2018-06-14 02:20:09,86375.0
ActiveJob,2018-06-14 11:28:30,20842163,vsc31934,Running,40,53924,2018-06-14 10:57:37,55777.0
ActiveJob,2018-06-14 11:28:30,20841668,vsc32213,Running,80,56703,2018-06-14 03:13:58,86375.0
ActiveJob,2018-06-14 11:28:30,20841670,vsc32213,Running,80,56745,2018-06-14 03:14:40,86375.0
ActiveJob,2018-06-14 11:28:30,20842005,vsc30141,Running,20,58935,2018-06-13 21:51:08,107977.0
ActiveJob,2018-06-14 11:28:30,30028140,vsc32099,Running,100,59895,2018-05-29 12:07:08,1439977.0
ActiveJob,2018-06-14 11:28:30,20841722,vsc30777,Running,96,63551,2018-06-14 07:08:04,79177.0
ActiveJob,2018-06-14 11:28:30,20841723,vsc30777,Running,96,63791,2018-06-14 07:12:04,79177.0
ActiveJob,2018-06-14 11:28:30,20839819,vsc30760,Running,20,64653,2018-06-08 23:26:26,539977.0
ActiveJob,2018-06-14 11:28:30,20839820,vsc30760,Running,20,65025,2018-06-08 23:32:38,539977.0
ActiveJob,2018-06-14 11:28:30,20841978,vsc32213,Running,80,69610,2018-06-14 06:49:05,86375.0
ActiveJob,2018-06-14 11:28:30,20841724,vsc30777,Running,96,70122,2018-06-14 08:57:35,79177.0
ActiveJob,2018-06-14 11:28:30,20841979,vsc32213,Running,80,72057,2018-06-14 07:29:52,86375.0
ActiveJob,2018-06-14 11:28:30,20841981,vsc32213,Running,80,75500,2018-06-14 08:27:15,86375.0
ActiveJob,2018-06-14 11:28:30,20842058,vsc31483,Running,20,78740,2018-06-14 09:21:13,86377.0
ActiveJob,2018-06-14 11:28:30,20842059,vsc31483,Running,20,79968,2018-06-14 09:41:41,86377.0
ActiveJob,2018-06-14 11:28:30,20842149,vsc32386,Running,20,80472,2018-06-14 09:50:05,86377.0
ActiveJob,2018-06-14 11:28:30,20842050,vsc31011,Running,60,80472,2018-06-14 09:50:05,86377.0
ActiveJob,2018-06-14 11:28:30,20840458,vsc32342,Running,20,81342,2018-06-11 10:04:35,345577.0
ActiveJob,2018-06-14 11:28:30,20840459,vsc32342,Running,20,81869,2018-06-11 10:13:22,345577.0
ActiveJob,2018-06-14 11:28:30,20841546,vsc30141,Running,80,82391,2018-06-13 18:22:04,143977.0
ActiveJob,2018-06-14 11:28:30,20842162,vsc31653,Running,20,82541,2018-06-14 10:24:34,86377.0
ActiveJob,2018-06-14 11:28:30,20840460,vsc32342,Running,20,82595,2018-06-11 10:25:28,345577.0
ActiveJob,2018-06-14 11:28:30,20840461,vsc32342,Running,20,83006,2018-06-11 10:32:19,345577.0
ActiveJob,2018-06-14 11:28:30,20840462,vsc32342,Running,20,83006,2018-06-11 10:32:19,345577.0
ActiveJob,2018-06-14 11:28:30,20840463,vsc32342,Running,20,83049,2018-06-11 10:33:02,345577.0
ActiveJob,2018-06-14 11:28:30,30028276,vsc31815,Running,10,83142,2018-06-13 10:34:35,172777.0
ActiveJob,2018-06-14 11:28:30,30028277,vsc31815,Running,10,83206,2018-06-13 10:35:39,172777.0
ActiveJob,2018-06-14 11:28:30,20842151,vsc31909,Running,20,83476,2018-06-14 10:41:09,86317.0
ActiveJob,2018-06-14 11:28:30,20840464,vsc32342,Running,20,84049,2018-06-11 10:49:42,345577.0
ActiveJob,2018-06-14 11:28:30,20842182,vsc31653,Running,20,84524,2018-06-14 10:57:37,86377.0
ActiveJob,2018-06-14 11:28:30,20841982,vsc32213,Running,80,84904,2018-06-14 11:03:59,86375.0
ActiveJob,2018-06-14 11:28:30,20841624,vsc31242,Running,20,85691,2018-06-13 11:17:04,172777.0
ActiveJob,2018-06-14 11:28:30,20840465,vsc32342,Running,20,85880,2018-06-11 11:20:13,345577.0
ActiveJob,2018-06-14 11:28:30,20840467,vsc32342,Running,20,87783,2018-06-11 11:51:56,345577.0
ActiveJob,2018-06-14 11:28:30,20840468,vsc32342,Running,20,87883,2018-06-11 11:53:36,345577.0
ActiveJob,2018-06-14 11:28:30,20842045,vsc30141,Running,20,92213,2018-06-14 07:05:46,107977.0
ActiveJob,2018-06-14 11:28:30,20840592,vsc32100,Running,1,95891,2018-06-11 14:07:04,345577.0
ActiveJob,2018-06-14 11:28:30,20840593,vsc32100,Running,1,96011,2018-06-11 14:09:04,345577.0
ActiveJob,2018-06-14 11:28:30,20840598,vsc32100,Running,1,96380,2018-06-11 14:15:13,345577.0
ActiveJob,2018-06-14 11:28:30,20840607,vsc32100,Running,1,97003,2018-06-11 14:25:36,345577.0
ActiveJob,2018-06-14 11:28:30,20836270,vsc32276,Running,240,97582,2018-06-08 14:35:15,604777.0
ActiveJob,2018-06-14 11:28:30,20841649,vsc31835,Running,100,98912,2018-06-13 14:57:25,172777.0
ActiveJob,2018-06-14 11:28:30,30028285,vsc42118,Running,30,101612,2018-06-13 15:42:25,172777.0
ActiveJob,2018-06-14 11:28:30,20841549,vsc30141,Running,80,102573,2018-06-13 23:58:26,143977.0
ActiveJob,2018-06-14 11:28:30,20840721,vsc32100,Running,1,103693,2018-06-11 16:17:06,345577.0
ActiveJob,2018-06-14 11:28:30,20840754,vsc32100,Running,1,105189,2018-06-11 16:42:02,345577.0
ActiveJob,2018-06-14 11:28:30,20840756,vsc32100,Running,1,105290,2018-06-11 16:43:43,345577.0
ActiveJob,2018-06-14 11:28:30,20840178,vsc31483,Running,20,105540,2018-06-10 16:47:53,431977.0
ActiveJob,2018-06-14 11:28:30,20841966,vsc32047,Running,2,106395,2018-06-13 18:02:08,169177.0
ActiveJob,2018-06-14 11:28:30,20841477,vsc32255,Running,1,111086,2018-06-12 18:20:19,259177.0
ActiveJob,2018-06-14 11:28:30,20840828,vsc32100,Running,1,115234,2018-06-11 19:29:27,345577.0
ActiveJob,2018-06-14 11:28:30,20837314,vsc32032,Running,160,123904,2018-06-09 21:53:57,518377.0
ActiveJob,2018-06-14 11:28:30,20839782,vsc30626,Running,48,141246,2018-06-09 02:42:59,604777.0
ActiveJob,2018-06-14 11:28:30,20839395,vsc31849,Running,32,142031,2018-06-09 02:56:04,604777.0
ActiveJob,2018-06-14 11:28:30,20838054,vsc32218,Running,20,143243,2018-06-06 23:16:16,791977.0
ActiveJob,2018-06-14 11:28:30,20841800,vsc31835,Running,100,153666,2018-06-14 06:09:59,172777.0
ActiveJob,2018-06-14 11:28:30,20841807,vsc31835,Running,100,154710,2018-06-14 06:27:23,172777.0
ActiveJob,2018-06-14 11:28:30,20841083,vsc31909,Running,100,155277,2018-06-13 06:37:50,259117.0
ActiveJob,2018-06-14 11:28:30,20842063,vsc31835,Running,80,165379,2018-06-14 09:25:12,172777.0
ActiveJob,2018-06-14 11:28:30,20842066,vsc31242,Running,20,169756,2018-06-14 10:38:09,172777.0
ActiveJob,2018-06-14 11:28:30,20842195,vsc31835,Running,80,172601,2018-06-14 11:25:34,172777.0
ActiveJob,2018-06-14 11:28:30,20841482,vsc31900,Running,100,181869,2018-06-13 14:00:02,259177.0
ActiveJob,2018-06-14 11:28:30,20841369,vsc32100,Running,1,188458,2018-06-12 15:49:51,345577.0
ActiveJob,2018-06-14 11:28:30,20841370,vsc32100,Running,1,188506,2018-06-12 15:50:39,345577.0
ActiveJob,2018-06-14 11:28:30,20841383,vsc32100,Running,1,188573,2018-06-12 15:51:46,345577.0
ActiveJob,2018-06-14 11:28:30,20841372,vsc32100,Running,1,188573,2018-06-12 15:51:46,345577.0
ActiveJob,2018-06-14 11:28:30,20841392,vsc32100,Running,1,189150,2018-06-12 16:01:23,345577.0
ActiveJob,2018-06-14 11:28:30,20841834,vsc31645,Running,24,189365,2018-06-13 16:04:58,259177.0
ActiveJob,2018-06-14 11:28:30,20841399,vsc32100,Running,1,189743,2018-06-12 16:11:16,345577.0
ActiveJob,2018-06-14 11:28:30,20841400,vsc32100,Running,1,189810,2018-06-12 16:12:23,345577.0
ActiveJob,2018-06-14 11:28:30,20841407,vsc32100,Running,1,190846,2018-06-12 16:29:39,345577.0
ActiveJob,2018-06-14 11:28:30,20841412,vsc32100,Running,1,191449,2018-06-12 16:39:42,345577.0
ActiveJob,2018-06-14 11:28:30,20841475,vsc32100,Running,1,197358,2018-06-12 18:18:11,345577.0
ActiveJob,2018-06-14 11:28:30,20841478,vsc32100,Running,1,197814,2018-06-12 18:25:47,345577.0
ActiveJob,2018-06-14 11:28:30,20841480,vsc32100,Running,1,198939,2018-06-12 18:44:32,345577.0
ActiveJob,2018-06-14 11:28:30,20841599,vsc30532,Running,96,206029,2018-06-13 20:42:42,259177.0
ActiveJob,2018-06-14 11:28:30,20842009,vsc31864,Running,15,207797,2018-06-13 21:12:10,259177.0
ActiveJob,2018-06-14 11:28:30,20838598,vsc32218,Running,20,209821,2018-06-07 17:45:54,791977.0
ActiveJob,2018-06-14 11:28:30,20842030,vsc30532,Running,96,218492,2018-06-14 00:10:25,259177.0
ActiveJob,2018-06-14 11:28:30,20842029,vsc30532,Running,48,219343,2018-06-14 00:24:36,259177.0
ActiveJob,2018-06-14 11:28:30,20842031,vsc31426,Running,20,220184,2018-06-13 23:38:37,262777.0
ActiveJob,2018-06-14 11:28:30,20841124,vsc31242,Running,20,223495,2018-06-12 21:33:48,359977.0
ActiveJob,2018-06-14 11:28:30,20841502,vsc31483,Running,20,230796,2018-06-13 03:35:29,345577.0
ActiveJob,2018-06-14 11:28:30,20841503,vsc31483,Running,20,231723,2018-06-13 03:50:56,345577.0
ActiveJob,2018-06-14 11:28:30,20841504,vsc31483,Running,20,235541,2018-06-13 04:54:34,345577.0
ActiveJob,2018-06-14 11:28:30,20841596,vsc30859,Running,20,267514,2018-06-13 09:47:27,359977.0
ActiveJob,2018-06-14 11:28:30,20841847,vsc32100,Running,1,276692,2018-06-13 16:20:25,345577.0
ActiveJob,2018-06-14 11:28:30,20841849,vsc32100,Running,1,276763,2018-06-13 16:21:36,345577.0
ActiveJob,2018-06-14 11:28:30,20830413,vsc32051,Running,20,276827,2018-05-28 16:22:40,1727977.0
ActiveJob,2018-06-14 11:28:30,20830411,vsc32051,Running,20,276827,2018-05-28 16:22:40,1727977.0
ActiveJob,2018-06-14 11:28:30,20841692,vsc31242,Running,20,279066,2018-06-13 12:59:59,359977.0
ActiveJob,2018-06-14 11:28:30,20841970,vsc32100,Running,1,283832,2018-06-13 18:19:25,345577.0
ActiveJob,2018-06-14 11:28:30,20841985,vsc32100,Running,1,289119,2018-06-13 19:47:32,345577.0
ActiveJob,2018-06-14 11:28:30,20841194,vsc31803,Running,1,290543,2018-06-12 12:11:16,460777.0
ActiveJob,2018-06-14 11:28:30,20841023,vsc31259,Running,15,291806,2018-06-12 00:32:19,503977.0
ActiveJob,2018-06-14 11:28:30,20842056,vsc31483,Running,20,336895,2018-06-14 09:03:48,345577.0
ActiveJob,2018-06-14 11:28:30,20842057,vsc31483,Running,20,336895,2018-06-14 09:03:48,345577.0
ActiveJob,2018-06-14 11:28:30,20840575,vsc30668,Running,16,355278,2018-06-11 14:10:11,604777.0
ActiveJob,2018-06-14 11:28:30,20840587,vsc30507,Running,24,356407,2018-06-11 14:29:00,604777.0
ActiveJob,2018-06-14 11:28:30,20840589,vsc30507,Running,24,357197,2018-06-11 14:42:10,604777.0
ActiveJob,2018-06-14 11:28:30,20840613,vsc30626,Running,48,357455,2018-06-11 14:46:28,604777.0
ActiveJob,2018-06-14 11:28:30,20840484,vsc30677,Running,20,358651,2018-06-11 15:06:24,604777.0
ActiveJob,2018-06-14 11:28:30,20840582,vsc30507,Running,24,359065,2018-06-11 15:13:18,604777.0
ActiveJob,2018-06-14 11:28:30,20840590,vsc30507,Running,24,360411,2018-06-11 15:35:44,604777.0
ActiveJob,2018-06-14 11:28:30,20840584,vsc30507,Running,24,360724,2018-06-11 15:40:57,604777.0
ActiveJob,2018-06-14 11:28:30,20840497,vsc30677,Running,24,361657,2018-06-11 15:56:30,604777.0
ActiveJob,2018-06-14 11:28:30,20840586,vsc30507,Running,24,361858,2018-06-11 15:59:51,604777.0
ActiveJob,2018-06-14 11:28:30,20840666,vsc30507,Running,24,361948,2018-06-11 16:01:21,604777.0
ActiveJob,2018-06-14 11:28:30,20840678,vsc30507,Running,24,365002,2018-06-11 16:52:15,604777.0
ActiveJob,2018-06-14 11:28:30,20840829,vsc30668,Running,20,374476,2018-06-11 19:30:09,604777.0
ActiveJob,2018-06-14 11:28:30,20840778,vsc30677,Running,20,375688,2018-06-11 19:50:21,604777.0
ActiveJob,2018-06-14 11:28:30,20841507,vsc30760,Running,20,417413,2018-06-13 01:25:46,539977.0
ActiveJob,2018-06-14 11:28:30,20841238,vsc31849,Running,32,449565,2018-06-12 16:21:38,604777.0
