category,time_stamp,job_id,user_id,state,procs,duration,datetime,derived
ActiveJob,2018-06-14 11:38:31,20841714,vsc30777,Running,96,79168,2018-06-14 11:38:21,79178.0
ActiveJob,2018-06-14 11:38:31,20841020,vsc30141,Running,320,47,2018-06-13 11:39:40,86378.0
ActiveJob,2018-06-14 11:38:31,20840488,vsc31573,Running,80,571,2018-06-11 11:48:24,259178.0
ActiveJob,2018-06-14 11:38:31,20840491,vsc31645,Running,24,2649,2018-06-11 12:23:02,259178.0
ActiveJob,2018-06-14 11:38:31,30028271,vsc31815,Running,10,6398,2018-06-12 13:25:31,172778.0
ActiveJob,2018-06-14 11:38:31,20840604,vsc32255,Running,1,9810,2018-06-11 14:22:23,259178.0
ActiveJob,2018-06-14 11:38:31,20838386,vsc30668,Running,12,10650,2018-06-07 14:36:23,604778.0
ActiveJob,2018-06-14 11:38:31,20842155,vsc31051,Running,2,12377,2018-06-14 10:05:10,17978.0
ActiveJob,2018-06-14 11:38:31,20841831,vsc32205,Running,40,14991,2018-06-13 15:48:44,86378.0
ActiveJob,2018-06-14 11:38:31,20841860,vsc31909,Running,20,17997,2018-06-13 16:39:50,86318.0
ActiveJob,2018-06-14 11:38:31,20840775,vsc32000,Running,20,19644,2018-06-11 17:06:17,259178.0
ActiveJob,2018-06-14 11:38:31,20842153,vsc32098,Running,1,23789,2018-06-14 10:15:22,28778.0
ActiveJob,2018-06-14 11:38:31,20842156,vsc32098,Running,1,23789,2018-06-14 10:15:22,28778.0
ActiveJob,2018-06-14 11:38:31,20841928,vsc31921,Running,20,24526,2018-06-13 18:27:39,86378.0
ActiveJob,2018-06-14 11:38:31,20841861,vsc31909,Running,20,31002,2018-06-13 20:16:35,86318.0
ActiveJob,2018-06-14 11:38:31,20842190,vsc31821,Running,20,34589,2018-06-14 11:15:22,35978.0
ActiveJob,2018-06-14 11:38:31,20842191,vsc31821,Running,20,34829,2018-06-14 11:19:22,35978.0
ActiveJob,2018-06-14 11:38:31,20841862,vsc31909,Running,20,35908,2018-06-13 21:38:21,86318.0
ActiveJob,2018-06-14 11:38:31,20842026,vsc31909,Running,20,39811,2018-06-13 22:43:24,86318.0
ActiveJob,2018-06-14 11:38:31,20841658,vsc32213,Running,80,46312,2018-06-14 00:30:47,86376.0
ActiveJob,2018-06-14 11:38:31,20842033,vsc30760,Running,1,48108,2018-06-14 01:00:41,86378.0
ActiveJob,2018-06-14 11:38:31,20842032,vsc30760,Running,1,48108,2018-06-14 01:00:41,86378.0
ActiveJob,2018-06-14 11:38:31,20841659,vsc32213,Running,80,49224,2018-06-14 01:19:19,86376.0
ActiveJob,2018-06-14 11:38:31,20841035,vsc32255,Running,1,50316,2018-06-12 01:37:29,259178.0
ActiveJob,2018-06-14 11:38:31,20841661,vsc32213,Running,80,52213,2018-06-14 02:09:08,86376.0
ActiveJob,2018-06-14 11:38:31,20841667,vsc32213,Running,80,52874,2018-06-14 02:20:09,86376.0
ActiveJob,2018-06-14 11:38:31,20842163,vsc31934,Running,40,53324,2018-06-14 10:57:37,55778.0
ActiveJob,2018-06-14 11:38:31,20841668,vsc32213,Running,80,56103,2018-06-14 03:13:58,86376.0
ActiveJob,2018-06-14 11:38:31,20841670,vsc32213,Running,80,56145,2018-06-14 03:14:40,86376.0
ActiveJob,2018-06-14 11:38:31,20842005,vsc30141,Running,20,58335,2018-06-13 21:51:08,107978.0
