category,time_stamp,job_id,user_id,state,procs,duration,datetime,derived
ActiveJob,2018-06-14 11:18:30,20841714,vsc30777,Running,96,79163,2018-06-14 11:18:16,79177.0
ActiveJob,2018-06-14 11:18:30,20841020,vsc30141,Running,320,1247,2018-06-13 11:39:40,86377.0
ActiveJob,2018-06-14 11:18:30,20840488,vsc31573,Running,80,1771,2018-06-11 11:48:24,259177.0
ActiveJob,2018-06-14 11:18:30,20840491,vsc31645,Running,24,3849,2018-06-11 12:23:02,259177.0
ActiveJob,2018-06-14 11:18:30,30028271,vsc31815,Running,10,7598,2018-06-12 13:25:31,172777.0
ActiveJob,2018-06-14 11:18:30,20840604,vsc32255,Running,1,11010,2018-06-11 14:22:23,259177.0
ActiveJob,2018-06-14 11:18:30,20838386,vsc30668,Running,12,11850,2018-06-07 14:36:23,604777.0
ActiveJob,2018-06-14 11:18:30,20842155,vsc31051,Running,2,13577,2018-06-14 10:05:10,17977.0
ActiveJob,2018-06-14 11:18:30,20841831,vsc32205,Running,40,16191,2018-06-13 15:48:44,86377.0
ActiveJob,2018-06-14 11:18:30,20841860,vsc31909,Running,20,19197,2018-06-13 16:39:50,86317.0
ActiveJob,2018-06-14 11:18:30,20840775,vsc32000,Running,20,20844,2018-06-11 17:06:17,259177.0
ActiveJob,2018-06-14 11:18:30,20842153,vsc32098,Running,1,24989,2018-06-14 10:15:22,28777.0
ActiveJob,2018-06-14 11:18:30,20842156,vsc32098,Running,1,24989,2018-06-14 10:15:22,28777.0
ActiveJob,2018-06-14 11:18:30,20841923,vsc31921,Running,20,25609,2018-06-13 18:25:42,86377.0
ActiveJob,2018-06-14 11:18:30,20841928,vsc31921,Running,20,25726,2018-06-13 18:27:39,86377.0
ActiveJob,2018-06-14 11:18:30,20841861,vsc31909,Running,20,32202,2018-06-13 20:16:35,86317.0
ActiveJob,2018-06-14 11:18:30,20842190,vsc31821,Running,20,35789,2018-06-14 11:15:22,35977.0
ActiveJob,2018-06-14 11:18:30,20841862,vsc31909,Running,20,37108,2018-06-13 21:38:21,86317.0
ActiveJob,2018-06-14 11:18:30,20842026,vsc31909,Running,20,41011,2018-06-13 22:43:24,86317.0
ActiveJob,2018-06-14 11:18:30,20841658,vsc32213,Running,80,47512,2018-06-14 00:30:47,86375.0
ActiveJob,2018-06-14 11:18:30,20842033,vsc30760,Running,1,49308,2018-06-14 01:00:41,86377.0
ActiveJob,2018-06-14 11:18:30,20842032,vsc30760,Running,1,49308,2018-06-14 01:00:41,86377.0
ActiveJob,2018-06-14 11:18:30,20841659,vsc32213,Running,80,50424,2018-06-14 01:19:19,86375.0
ActiveJob,2018-06-14 11:18:30,20841035,vsc32255,Running,1,51516,2018-06-12 01:37:29,259177.0
ActiveJob,2018-06-14 11:18:30,20841661,vsc32213,Running,80,53413,2018-06-14 02:09:08,86375.0
ActiveJob,2018-06-14 11:18:30,20841667,vsc32213,Running,80,54074,2018-06-14 02:20:09,86375.0
ActiveJob,2018-06-14 11:18:30,20842163,vsc31934,Running,40,54524,2018-06-14 10:57:37,55777.0
ActiveJob,2018-06-14 11:18:30,20841668,vsc32213,Running,80,57303,2018-06-14 03:13:58,86375.0
ActiveJob,2018-06-14 11:18:30,20841670,vsc32213,Running,80,57345,2018-06-14 03:14:40,86375.0
ActiveJob,2018-06-14 11:18:30,20842005,vsc30141,Running,20,59535,2018-06-13 21:51:08,107977.0
ActiveJob,2018-06-14 11:18:30,30028140,vsc32099,Running,100,60495,2018-05-29 12:07:08,1439977.0
ActiveJob,2018-06-14 11:18:30,20841722,vsc30777,Running,96,64151,2018-06-14 07:08:04,79177.0
ActiveJob,2018-06-14 11:18:30,20841723,vsc30777,Running,96,64391,2018-06-14 07:12:04,79177.0
ActiveJob,2018-06-14 11:18:30,20839819,vsc30760,Running,20,65253,2018-06-08 23:26:26,539977.0
ActiveJob,2018-06-14 11:18:30,20839820,vsc30760,Running,20,65625,2018-06-08 23:32:38,539977.0
ActiveJob,2018-06-14 11:18:30,20841978,vsc32213,Running,80,70210,2018-06-14 06:49:05,86375.0
ActiveJob,2018-06-14 11:18:30,20841724,vsc30777,Running,96,70722,2018-06-14 08:57:35,79177.0
