category,time_stamp,job_id,user_id,state,procs,duration,datetime,derived
ActiveJob,2018-06-14 16:08:35,20842346,vsc30972,Running,20,433,2018-06-14 15:46:11,1777.0
ActiveJob,2018-06-14 16:08:35,20842328,vsc31717,Running,40,605,2018-06-14 15:19:03,3577.0
ActiveJob,2018-06-14 16:08:35,20841860,vsc31909,Running,20,1792,2018-06-13 16:39:50,86317.0
ActiveJob,2018-06-14 16:08:35,20840775,vsc32000,Running,20,3439,2018-06-11 17:06:17,259177.0
ActiveJob,2018-06-14 16:08:35,20842249,vsc31274,Running,20,4939,2018-06-14 13:03:44,16030.0
ActiveJob,2018-06-14 16:08:35,20842243,vsc31366,Running,160,5065,2018-06-14 15:33:23,7177.0
ActiveJob,2018-06-14 16:08:35,20842332,vsc32052,Running,20,5454,2018-06-14 15:39:52,7177.0
ActiveJob,2018-06-14 16:08:35,20841928,vsc31921,Running,20,8321,2018-06-13 18:27:39,86377.0
ActiveJob,2018-06-14 16:08:35,20842225,vsc30912,Running,80,10336,2018-06-14 15:01:14,14377.0
ActiveJob,2018-06-14 16:08:35,20841861,vsc31909,Running,20,14797,2018-06-13 20:16:35,86317.0
ActiveJob,2018-06-14 16:08:35,20842190,vsc31821,Running,20,18384,2018-06-14 11:15:22,35977.0
ActiveJob,2018-06-14 16:08:35,20842191,vsc31821,Running,20,18624,2018-06-14 11:19:22,35977.0
ActiveJob,2018-06-14 16:08:35,20841862,vsc31909,Running,20,19703,2018-06-13 21:38:21,86317.0
ActiveJob,2018-06-14 16:08:35,20842026,vsc31909,Running,20,23606,2018-06-13 22:43:24,86317.0
ActiveJob,2018-06-14 16:08:35,20842331,vsc32384,Running,20,27274,2018-06-14 15:43:32,28777.0
ActiveJob,2018-06-14 16:08:35,20842178,vsc31051,Running,2,28744,2018-06-14 14:08:02,35977.0
ActiveJob,2018-06-14 16:08:35,20841658,vsc32213,Running,80,30107,2018-06-14 00:30:47,86375.0
ActiveJob,2018-06-14 16:08:35,20842033,vsc30760,Running,1,31903,2018-06-14 01:00:41,86377.0
ActiveJob,2018-06-14 16:08:35,20842032,vsc30760,Running,1,31903,2018-06-14 01:00:41,86377.0
ActiveJob,2018-06-14 16:08:35,20841659,vsc32213,Running,80,33019,2018-06-14 01:19:19,86375.0
ActiveJob,2018-06-14 16:08:35,20841035,vsc32255,Running,1,34111,2018-06-12 01:37:29,259177.0
ActiveJob,2018-06-14 16:08:35,20841661,vsc32213,Running,80,36008,2018-06-14 02:09:08,86375.0
ActiveJob,2018-06-14 16:08:35,20841667,vsc32213,Running,80,36669,2018-06-14 02:20:09,86375.0
ActiveJob,2018-06-14 16:08:35,20841668,vsc32213,Running,80,39898,2018-06-14 03:13:58,86375.0
ActiveJob,2018-06-14 16:08:35,20841670,vsc32213,Running,80,39940,2018-06-14 03:14:40,86375.0
ActiveJob,2018-06-14 16:08:35,20842005,vsc30141,Running,20,42130,2018-06-13 21:51:08,107977.0
ActiveJob,2018-06-14 16:08:35,30028140,vsc32099,Running,100,43090,2018-05-29 12:07:08,1439977.0
ActiveJob,2018-06-14 16:08:35,20839819,vsc30760,Running,20,47848,2018-06-08 23:26:26,539977.0
ActiveJob,2018-06-14 16:08:35,20839820,vsc30760,Running,20,48220,2018-06-08 23:32:38,539977.0
ActiveJob,2018-06-14 16:08:35,20841978,vsc32213,Running,80,52805,2018-06-14 06:49:05,86375.0
ActiveJob,2018-06-14 16:08:35,20841979,vsc32213,Running,80,55252,2018-06-14 07:29:52,86375.0
ActiveJob,2018-06-14 16:08:35,20841981,vsc32213,Running,80,58695,2018-06-14 08:27:15,86375.0
ActiveJob,2018-06-14 16:08:35,20842149,vsc32386,Running,20,63667,2018-06-14 09:50:05,86377.0
