category,time_stamp,job_id,user_id,state,procs,duration,datetime,derived
ActiveJob,2018-06-14 14:48:34,20841714,vsc30777,Running,96,79193,2018-06-14 14:48:50,79177.0
ActiveJob,2018-06-14 14:48:34,20842266,vsc42313,Running,1,90,2018-06-14 13:50:27,3577.0
ActiveJob,2018-06-14 14:48:34,20842291,vsc31934,Running,1,965,2018-06-14 14:35:02,1777.0
ActiveJob,2018-06-14 14:48:34,20842155,vsc31051,Running,2,973,2018-06-14 10:05:10,17977.0
ActiveJob,2018-06-14 14:48:34,20841831,vsc32205,Running,40,3587,2018-06-13 15:48:44,86377.0
ActiveJob,2018-06-14 14:48:34,20842237,vsc32397,Running,80,3749,2018-06-14 13:51:26,7177.0
ActiveJob,2018-06-14 14:48:34,20841860,vsc31909,Running,20,6593,2018-06-13 16:39:50,86317.0
ActiveJob,2018-06-14 14:48:34,20840775,vsc32000,Running,20,8240,2018-06-11 17:06:17,259177.0
ActiveJob,2018-06-14 14:48:34,20842253,vsc31764,Running,180,8506,2018-06-14 14:10:43,10777.0
ActiveJob,2018-06-14 14:48:34,20842249,vsc31274,Running,20,9740,2018-06-14 13:03:44,16030.0
ActiveJob,2018-06-14 14:48:34,20842153,vsc32098,Running,1,12385,2018-06-14 10:15:22,28777.0
ActiveJob,2018-06-14 14:48:34,20842156,vsc32098,Running,1,12385,2018-06-14 10:15:22,28777.0
ActiveJob,2018-06-14 14:48:34,20841928,vsc31921,Running,20,13122,2018-06-13 18:27:39,86377.0
ActiveJob,2018-06-14 14:48:34,20841861,vsc31909,Running,20,19598,2018-06-13 20:16:35,86317.0
ActiveJob,2018-06-14 14:48:34,20842190,vsc31821,Running,20,23185,2018-06-14 11:15:22,35977.0
ActiveJob,2018-06-14 14:48:34,20842191,vsc31821,Running,20,23425,2018-06-14 11:19:22,35977.0
ActiveJob,2018-06-14 14:48:34,20841862,vsc31909,Running,20,24504,2018-06-13 21:38:21,86317.0
ActiveJob,2018-06-14 14:48:34,20842026,vsc31909,Running,20,28407,2018-06-13 22:43:24,86317.0
ActiveJob,2018-06-14 14:48:34,20842178,vsc31051,Running,2,33545,2018-06-14 14:08:02,35977.0
ActiveJob,2018-06-14 14:48:34,20841658,vsc32213,Running,80,34908,2018-06-14 00:30:47,86375.0
ActiveJob,2018-06-14 14:48:34,20842033,vsc30760,Running,1,36704,2018-06-14 01:00:41,86377.0
ActiveJob,2018-06-14 14:48:34,20842032,vsc30760,Running,1,36704,2018-06-14 01:00:41,86377.0
ActiveJob,2018-06-14 14:48:34,20841659,vsc32213,Running,80,37820,2018-06-14 01:19:19,86375.0
ActiveJob,2018-06-14 14:48:34,20841035,vsc32255,Running,1,38912,2018-06-12 01:37:29,259177.0
ActiveJob,2018-06-14 14:48:34,20841661,vsc32213,Running,80,40809,2018-06-14 02:09:08,86375.0
ActiveJob,2018-06-14 14:48:34,20841667,vsc32213,Running,80,41470,2018-06-14 02:20:09,86375.0
ActiveJob,2018-06-14 14:48:34,20841668,vsc32213,Running,80,44699,2018-06-14 03:13:58,86375.0
ActiveJob,2018-06-14 14:48:34,20841670,vsc32213,Running,80,44741,2018-06-14 03:14:40,86375.0
ActiveJob,2018-06-14 14:48:34,20842005,vsc30141,Running,20,46931,2018-06-13 21:51:08,107977.0
ActiveJob,2018-06-14 14:48:34,30028140,vsc32099,Running,100,47891,2018-05-29 12:07:08,1439977.0
ActiveJob,2018-06-14 14:48:34,20839819,vsc30760,Running,20,52649,2018-06-08 23:26:26,539977.0
ActiveJob,2018-06-14 14:48:34,20839820,vsc30760,Running,20,53021,2018-06-08 23:32:38,539977.0
ActiveJob,2018-06-14 14:48:34,20841978,vsc32213,Running,80,57606,2018-06-14 06:49:05,86375.0
ActiveJob,2018-06-14 14:48:34,20841979,vsc32213,Running,80,60053,2018-06-14 07:29:52,86375.0
ActiveJob,2018-06-14 14:48:34,20841981,vsc32213,Running,80,63496,2018-06-14 08:27:15,86375.0
ActiveJob,2018-06-14 14:48:34,20842149,vsc32386,Running,20,68468,2018-06-14 09:50:05,86377.0
ActiveJob,2018-06-14 14:48:34,20842050,vsc31011,Running,60,68468,2018-06-14 09:50:05,86377.0
ActiveJob,2018-06-14 14:48:34,20842165,vsc32093,Running,180,68549,2018-06-14 13:51:26,71977.0
ActiveJob,2018-06-14 14:48:34,20842273,vsc31383,Running,20,68784,2018-06-14 13:55:21,71977.0
ActiveJob,2018-06-14 14:48:34,20840458,vsc32342,Running,20,69338,2018-06-11 10:04:35,345577.0
ActiveJob,2018-06-14 14:48:34,20840459,vsc32342,Running,20,69865,2018-06-11 10:13:22,345577.0
ActiveJob,2018-06-14 14:48:34,20842275,vsc31383,Running,20,70216,2018-06-14 14:19:13,71977.0
ActiveJob,2018-06-14 14:48:34,20841546,vsc30141,Running,80,70387,2018-06-13 18:22:04,143977.0
ActiveJob,2018-06-14 14:48:34,20842231,vsc32242,Running,1,70456,2018-06-14 14:19:13,72217.0
ActiveJob,2018-06-14 14:48:34,20840460,vsc32342,Running,20,70591,2018-06-11 10:25:28,345577.0
ActiveJob,2018-06-14 14:48:34,20840461,vsc32342,Running,20,71002,2018-06-11 10:32:19,345577.0
ActiveJob,2018-06-14 14:48:34,20840462,vsc32342,Running,20,71002,2018-06-11 10:32:19,345577.0
ActiveJob,2018-06-14 14:48:34,20840463,vsc32342,Running,20,71045,2018-06-11 10:33:02,345577.0
ActiveJob,2018-06-14 14:48:34,30028276,vsc31815,Running,10,71138,2018-06-13 10:34:35,172777.0
ActiveJob,2018-06-14 14:48:34,30028277,vsc31815,Running,10,71202,2018-06-13 10:35:39,172777.0
ActiveJob,2018-06-14 14:48:34,20842151,vsc31909,Running,20,71472,2018-06-14 10:41:09,86317.0
ActiveJob,2018-06-14 14:48:34,20840464,vsc32342,Running,20,72045,2018-06-11 10:49:42,345577.0
ActiveJob,2018-06-14 14:48:34,20841982,vsc32213,Running,80,72900,2018-06-14 11:03:59,86375.0
ActiveJob,2018-06-14 14:48:34,20841624,vsc31242,Running,20,73687,2018-06-13 11:17:04,172777.0
ActiveJob,2018-06-14 14:48:34,20840465,vsc32342,Running,20,73876,2018-06-11 11:20:13,345577.0
ActiveJob,2018-06-14 14:48:34,20842203,vsc31041,Running,20,74377,2018-06-14 11:29:34,86317.0
ActiveJob,2018-06-14 14:48:34,20841983,vsc32213,Running,80,74435,2018-06-14 11:29:34,86375.0
ActiveJob,2018-06-14 14:48:34,20842206,vsc31821,Running,20,74922,2018-06-14 11:37:39,86377.0
ActiveJob,2018-06-14 14:48:34,20842207,vsc31821,Running,20,75138,2018-06-14 11:41:15,86377.0
ActiveJob,2018-06-14 14:48:34,20841984,vsc32213,Running,80,75638,2018-06-14 11:49:37,86375.0
ActiveJob,2018-06-14 14:48:34,20840467,vsc32342,Running,20,75779,2018-06-11 11:51:56,345577.0
ActiveJob,2018-06-14 14:48:34,20840468,vsc32342,Running,20,75879,2018-06-11 11:53:36,345577.0
ActiveJob,2018-06-14 14:48:34,20842209,vsc31821,Running,20,76546,2018-06-14 12:04:43,86377.0
ActiveJob,2018-06-14 14:48:34,20842210,vsc31821,Running,20,76786,2018-06-14 12:08:43,86377.0
ActiveJob,2018-06-14 14:48:34,20842045,vsc30141,Running,20,80209,2018-06-14 07:05:46,107977.0
ActiveJob,2018-06-14 14:48:34,20842211,vsc31821,Running,20,80334,2018-06-14 13:07:51,86377.0
ActiveJob,2018-06-14 14:48:34,20842283,vsc31041,Running,20,84556,2018-06-14 14:19:13,86317.0
ActiveJob,2018-06-14 14:48:34,20842192,vsc31483,Running,20,85123,2018-06-14 14:27:40,86377.0
ActiveJob,2018-06-14 14:48:34,20842194,vsc31483,Running,20,85128,2018-06-14 14:27:45,86377.0
ActiveJob,2018-06-14 14:48:34,20836270,vsc32276,Running,240,85578,2018-06-08 14:35:15,604777.0
ActiveJob,2018-06-14 14:48:34,20842279,vsc31530,Running,24,86105,2018-06-14 14:44:02,86377.0
ActiveJob,2018-06-14 14:48:34,20841549,vsc30141,Running,80,90569,2018-06-13 23:58:26,143977.0
ActiveJob,2018-06-14 14:48:34,20840178,vsc31483,Running,20,93536,2018-06-10 16:47:53,431977.0
ActiveJob,2018-06-14 14:48:34,20841966,vsc32047,Running,2,94391,2018-06-13 18:02:08,169177.0
ActiveJob,2018-06-14 14:48:34,20837314,vsc32032,Running,160,111900,2018-06-09 21:53:57,518377.0
ActiveJob,2018-06-14 14:48:34,20842199,vsc30465,Running,3,126310,2018-06-14 13:54:07,129577.0
ActiveJob,2018-06-14 14:48:34,20842233,vsc30465,Running,3,126310,2018-06-14 13:54:07,129577.0
ActiveJob,2018-06-14 14:48:34,20842232,vsc30465,Running,3,126310,2018-06-14 13:54:07,129577.0
ActiveJob,2018-06-14 14:48:34,20842200,vsc30465,Running,3,126310,2018-06-14 13:54:07,129577.0
ActiveJob,2018-06-14 14:48:34,20842197,vsc30465,Running,3,126310,2018-06-14 13:54:07,129577.0
ActiveJob,2018-06-14 14:48:34,20842201,vsc30465,Running,3,126310,2018-06-14 13:54:07,129577.0
ActiveJob,2018-06-14 14:48:34,20842236,vsc30465,Running,3,127546,2018-06-14 14:14:43,129577.0
